SampleID, process                                                     , xsection(nb), kfactor , filtereff , generator                               , simulation
# signal non-res NLO+FT kappa_lambda=1
450656  , MadGraphHerwig7EvtGen_NNPDF23LO_X500tohh_bbZZllvv           , 0.001     , 1       , 0.00123213, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
450657  , MadGraphHerwig7EvtGen_NNPDF23LO_X600tohh_bbZZllvv           , 0.001     , 1       , 0.00123213, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
450658  , MadGraphHerwig7EvtGen_NNPDF23LO_X800tohh_bbZZllvv           , 0.001     , 1       , 0.00123213, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
450659  , MadGraphHerwig7EvtGen_NNPDF23LO_X1000tohh_bbZZllvv          , 0.001     , 1       , 0.00123213, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
451708  , MadGraphHerwig7EvtGen_NNPDF23LO_X251tohh_ttbb_2lep          , 0.001     , 1       , 0.00905898, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
451709  , MadGraphHerwig7EvtGen_NNPDF23LO_X260tohh_ttbb_2lep          , 0.001     , 1       , 0.00905898, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
451710  , MadGraphHerwig7EvtGen_NNPDF23LO_X300tohh_ttbb_2lep          , 0.001     , 1       , 0.00905898, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
451711  , MadGraphHerwig7EvtGen_NNPDF23LO_X400tohh_ttbb_2lep          , 0.001     , 1       , 0.00905898, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
451712  , MadGraphHerwig7EvtGen_NNPDF23LO_X500tohh_ttbb_2lep          , 0.001     , 1       , 0.00905898, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
451713  , MadGraphHerwig7EvtGen_NNPDF23LO_X600tohh_ttbb_2lep          , 0.001     , 1       , 0.00905898, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
451714  , MadGraphHerwig7EvtGen_NNPDF23LO_X800tohh_ttbb_2lep          , 0.001     , 1       , 0.00905898, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
451715  , MadGraphHerwig7EvtGen_NNPDF23LO_X1000tohh_ttbb_2lep         , 0.001     , 1       , 0.00905898, MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16

# signal VBF
500002  , MGH7EG_NNPDF23LO_bbll_bbtautau_vbf                          , 0.000001726, 1       , 0.00905898, MadGraph(v.2.6.7p3.atlas4)+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
500003  , MGH7EG_NNPDF23LO_bbll_bbWW_vbf                              , 0.000001726, 1       , 0.0264216 , MadGraph(v.2.6.7p3.atlas4)+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
500014  , MGH7EG_NNPDF23LO_bbll_bbZZ_vbf                              , 0.000001726, 1       , 0.00123213, MadGraph(v.2.6.7p3.atlas4)+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16

# signal VBF priority 1, no VHH
503016  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l1cvv1cv1                      , 0.000001726, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503017  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l1cvv0cv1                      , 0.000027069, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503028  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l1cvv1cv1                      , 0.000001726, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503029  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l1cvv0cv1                      , 0.000027069, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503040  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l1cvv1cv1                      , 0.000001726, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503041  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l1cvv0cv1                      , 0.000027069, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16

# signal VBF priority 2, no VHH
503018  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l1cvv0p5cv1                    , 0.000009634, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503019  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l1cvv1p5cv1                    , 0.000003356, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503020  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l1cvv2cv1                      , 0.000014515, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503021  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l1cvv3cv1                      , 0.000065431, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503022  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l0cvv1cv1                      , 0.000004608, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503023  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l2cvv1cv1                      , 0.000001559, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503024  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l10cvv1cv1                     , 0.000098059, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503025  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l1cvv1cv0p5                    , 0.000010958, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503026  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l1cvv1cv1p5                    , 0.000066071, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503027  , MGPy8EG_hh_bbtt_ll_vbf_novhh_l0cvv0cv1                      , 0.000036965, 1       , 0.00905898, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16

503030  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l1cvv0p5cv1                    , 0.000009634, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503031  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l1cvv1p5cv1                    , 0.000003356, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503032  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l1cvv2cv1                      , 0.000014515, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503033  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l1cvv3cv1                      , 0.000065431, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503034  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l0cvv1cv1                      , 0.000004608, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503035  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l2cvv1cv1                      , 0.000001559, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
